0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
yes,Self-emp-not-inc,no,Prof-school,yes,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,yes,yes,yes,India,1.0
no,Self-emp-not-inc,no,Bachelors,yes,Married-civ-spouse,Exec-managerial,Husband,White,Male,yes,yes,yes,United-States,1.0
yes,Private,no,HS-grad,no,Married-civ-spouse,Craft-repair,Husband,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,no,HS-grad,no,Divorced,Craft-repair,Other-relative,White,Female,yes,yes,yes,Vietnam,-1.0
yes,Private,no,HS-grad,no,Married-civ-spouse,Transport-moving,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,no,HS-grad,no,Divorced,Other-service,Unmarried,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,no,Doctorate,yes,Married-civ-spouse,Exec-managerial,Husband,White,Male,yes,yes,yes,United-States,1.0
yes,Private,yes,Masters,yes,Married-civ-spouse,Prof-specialty,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,yes,Some-college,yes,Never-married,Other-service,Not-in-family,White,Female,yes,yes,no,United-States,-1.0
no,Private,no,Some-college,yes,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,no,HS-grad,no,Never-married,Craft-repair,Not-in-family,White,Male,yes,yes,yes,United-States,-1.0
yes,Federal-gov,no,HS-grad,no,Married-civ-spouse,Adm-clerical,Husband,White,Male,yes,yes,yes,England,1.0
yes,Local-gov,no,11th,no,Married-civ-spouse,Exec-managerial,Husband,White,Male,yes,yes,no,United-States,-1.0
no,Private,no,HS-grad,no,Married-civ-spouse,Craft-repair,Husband,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,no,HS-grad,no,Married-civ-spouse,Sales,Husband,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,yes,12th,no,Never-married,Adm-clerical,Other-relative,Black,Female,yes,yes,yes,United-States,-1.0
no,Private,no,Some-college,yes,Never-married,Handlers-cleaners,Own-child,White,Male,yes,yes,no,United-States,-1.0
no,Private,yes,Some-college,yes,Never-married,Other-service,Own-child,White,Female,yes,yes,no,United-States,-1.0
yes,Self-emp-inc,yes,Some-college,yes,Married-civ-spouse,Exec-managerial,Husband,White,Male,yes,yes,yes,United-States,1.0
no,Private,no,Bachelors,yes,Never-married,Sales,Own-child,White,Male,yes,yes,yes,United-States,-1.0
no,Private,yes,5th-6th,no,Never-married,Other-service,Other-relative,White,Male,yes,yes,yes,Mexico,-1.0
yes,Private,yes,Some-college,yes,Never-married,Adm-clerical,Own-child,White,Female,yes,yes,yes,United-States,-1.0
yes,Local-gov,no,Masters,yes,Divorced,Prof-specialty,Unmarried,White,Female,yes,yes,yes,United-States,-1.0
no,Private,yes,Assoc-acdm,yes,Never-married,Prof-specialty,Not-in-family,White,Female,yes,yes,yes,United-States,-1.0
yes,Private,yes,9th,no,Married-civ-spouse,Craft-repair,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Federal-gov,no,Bachelors,yes,Divorced,Prof-specialty,Not-in-family,White,Female,yes,yes,yes,United-States,1.0
no,?,no,Some-college,yes,Never-married,?,Own-child,White,Male,yes,yes,no,United-States,-1.0
yes,Local-gov,yes,Masters,yes,Married-civ-spouse,Exec-managerial,Husband,Black,Male,yes,yes,yes,United-States,1.0
yes,Self-emp-not-inc,no,HS-grad,no,Married-civ-spouse,Craft-repair,Husband,White,Male,yes,yes,no,United-States,-1.0
yes,Private,yes,Bachelors,yes,Married-civ-spouse,Farming-fishing,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,?,no,Some-college,yes,Never-married,?,Own-child,White,Female,yes,yes,yes,United-States,-1.0
no,Local-gov,no,Some-college,yes,Married-civ-spouse,Transport-moving,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,yes,11th,no,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,no,9th,no,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,yes,yes,yes,United-States,1.0
no,Private,yes,Some-college,yes,Married-civ-spouse,Sales,Husband,White,Male,yes,yes,yes,United-States,1.0
no,Private,yes,Some-college,yes,Never-married,Handlers-cleaners,Own-child,White,Male,yes,yes,no,United-States,-1.0
yes,Private,no,HS-grad,no,Divorced,Adm-clerical,Unmarried,White,Female,yes,yes,no,?,-1.0
no,Private,no,HS-grad,no,Never-married,Craft-repair,Own-child,White,Male,yes,yes,yes,United-States,-1.0
yes,Private,no,Bachelors,yes,Divorced,Sales,Unmarried,White,Female,yes,yes,no,United-States,-1.0
yes,Private,no,Some-college,yes,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,yes,yes,yes,United-States,-1.0
yes,Private,yes,HS-grad,no,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,no,Bachelors,yes,Married-civ-spouse,Exec-managerial,Husband,White,Male,yes,yes,yes,United-States,1.0
yes,Local-gov,no,9th,no,Married-civ-spouse,Transport-moving,Husband,Black,Male,yes,yes,yes,United-States,-1.0
yes,Self-emp-inc,no,HS-grad,no,Married-civ-spouse,Farming-fishing,Husband,White,Male,yes,yes,yes,United-States,1.0
yes,Private,yes,HS-grad,no,Married-civ-spouse,Transport-moving,Husband,White,Male,yes,yes,yes,United-States,-1.0
no,Private,no,Bachelors,yes,Never-married,Tech-support,Own-child,White,Male,yes,yes,yes,United-States,-1.0
no,Private,yes,Preschool,no,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,yes,yes,yes,Mexico,-1.0
