0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
bin10,Self-emp-not-inc,bin2,Prof-school,bin10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,bin10,bin10,bin8,India,1
bin5,Self-emp-not-inc,bin4,Bachelors,bin10,Married-civ-spouse,Exec-managerial,Husband,White,Male,bin10,bin10,bin8,United-States,1
bin9,Private,bin4,HS-grad,bin6,Married-civ-spouse,Craft-repair,Husband,White,Male,bin10,bin10,bin8,United-States,-1
bin7,Private,bin3,HS-grad,bin6,Divorced,Craft-repair,Other-relative,White,Female,bin10,bin10,bin8,Vietnam,-1
bin7,Private,bin3,HS-grad,bin6,Married-civ-spouse,Transport-moving,Husband,White,Male,bin10,bin10,bin10,United-States,-1
bin5,Private,bin5,HS-grad,bin6,Divorced,Other-service,Unmarried,White,Male,bin10,bin10,bin8,United-States,-1
bin10,Private,bin1,Doctorate,bin10,Married-civ-spouse,Exec-managerial,Husband,White,Male,bin10,bin10,bin10,United-States,1
bin7,Private,bin10,Masters,bin10,Married-civ-spouse,Prof-specialty,Husband,White,Male,bin10,bin10,bin9,United-States,-1
bin2,Private,bin8,Some-college,bin8,Never-married,Other-service,Not-in-family,White,Female,bin10,bin10,bin3,United-States,-1
bin3,Private,bin2,Some-college,bin8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,bin10,bin10,bin10,United-States,-1
bin5,Private,bin3,HS-grad,bin6,Never-married,Craft-repair,Not-in-family,White,Male,bin10,bin10,bin8,United-States,-1
bin6,Federal-gov,bin1,HS-grad,bin6,Married-civ-spouse,Adm-clerical,Husband,White,Male,bin10,bin10,bin8,England,1
bin10,Local-gov,bin2,11th,bin2,Married-civ-spouse,Exec-managerial,Husband,White,Male,bin10,bin10,bin1,United-States,-1
bin4,Private,bin1,HS-grad,bin6,Married-civ-spouse,Craft-repair,Husband,White,Male,bin10,bin10,bin8,United-States,-1
bin6,Private,bin2,HS-grad,bin6,Married-civ-spouse,Sales,Husband,White,Male,bin10,bin10,bin10,United-States,-1
bin9,Private,bin10,12th,bin2,Never-married,Adm-clerical,Other-relative,Black,Female,bin10,bin10,bin8,United-States,-1
bin1,Private,bin2,Some-college,bin8,Never-married,Handlers-cleaners,Own-child,White,Male,bin10,bin10,bin2,United-States,-1
bin2,Private,bin8,Some-college,bin8,Never-married,Other-service,Own-child,White,Female,bin10,bin10,bin2,United-States,-1
bin10,Self-emp-inc,bin10,Some-college,bin8,Married-civ-spouse,Exec-managerial,Husband,White,Male,bin10,bin10,bin8,United-States,1
bin3,Private,bin3,Bachelors,bin10,Never-married,Sales,Own-child,White,Male,bin10,bin10,bin10,United-States,-1
bin3,Private,bin9,5th-6th,bin1,Never-married,Other-service,Other-relative,White,Male,bin10,bin10,bin8,Mexico,-1
bin10,Private,bin10,Some-college,bin8,Never-married,Adm-clerical,Own-child,White,Female,bin10,bin10,bin8,United-States,-1
bin7,Local-gov,bin3,Masters,bin10,Divorced,Prof-specialty,Unmarried,White,Female,bin10,bin10,bin9,United-States,-1
bin4,Private,bin7,Assoc-acdm,bin9,Never-married,Prof-specialty,Not-in-family,White,Female,bin10,bin10,bin8,United-States,-1
bin10,Private,bin7,9th,bin1,Married-civ-spouse,Craft-repair,Husband,White,Male,bin10,bin10,bin8,United-States,-1
bin6,Federal-gov,bin1,Bachelors,bin10,Divorced,Prof-specialty,Not-in-family,White,Female,bin10,bin10,bin10,United-States,1
bin1,?,bin4,Some-college,bin8,Never-married,?,Own-child,White,Male,bin10,bin10,bin1,United-States,-1
bin10,Local-gov,bin10,Masters,bin10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,bin10,bin10,bin8,United-States,1
bin10,Self-emp-not-inc,bin3,HS-grad,bin6,Married-civ-spouse,Craft-repair,Husband,White,Male,bin10,bin10,bin1,United-States,-1
bin6,Private,bin8,Bachelors,bin10,Married-civ-spouse,Farming-fishing,Husband,White,Male,bin10,bin10,bin10,United-States,-1
bin2,?,bin5,Some-college,bin8,Never-married,?,Own-child,White,Female,bin10,bin10,bin8,United-States,-1
bin5,Local-gov,bin5,Some-college,bin8,Married-civ-spouse,Transport-moving,Husband,White,Male,bin10,bin10,bin8,United-States,-1
bin5,Private,bin7,11th,bin2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,bin10,bin10,bin8,United-States,-1
bin10,Private,bin2,9th,bin1,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,bin10,bin10,bin9,United-States,1
